status_spse,sumber_dana,k_l_pd,jenis_tender,metode_pengadaan,metode_pemilihan,metode_evaluasi,tahun_anggaran,nilai_pagu,nilai_hps,cara_bayar,kualifikasi,jumlah_peserta
spse 4.5,APBD,Pemerintah Daerah Kabupaten Cirebon,Pengadaan Barang,Pascakualifikasi Satu File,Tender,Harga Terendah Sistem Gugur,2022,296142000.0,252123144.0,Harga Satuan,Kecil,22
spse 4.5,APBD,Pemerintah Daerah Kabupaten Cirebon,Pengadaan Barang,Pascakualifikasi Satu File,Tender,Harga Terendah Sistem Gugur,2022,269220000.0,224975722.0,Lumsum,Kecil,19
spse 4.5,APBD,Pemerintah Daerah Kabupaten Cirebon,Pekerjaan Konstruksi,Pascakualifikasi Satu File,Tender,Harga Terendah Sistem Gugur,2022,492500000.0,492500000.0,Gabungan Lumsum dan Harga Satuan,Kecil,20
spse 4.5,APBD,Pemerintah Daerah Kabupaten Cirebon,Pekerjaan Konstruksi,Pascakualifikasi Satu File,Tender,Harga Terendah Sistem Gugur,2022,318250000.0,318241000.0,Gabungan Lumsum dan Harga Satuan,Kecil,8
spse 4.5,APBD,Pemerintah Daerah Kabupaten Cirebon,Pekerjaan Konstruksi,Pascakualifikasi Satu File,Tender,Harga Terendah Sistem Gugur,2022,285000000.0,284990000.0,Gabungan Lumsum dan Harga Satuan,Kecil,4
spse 4.5,APBD,Pemerintah Daerah Kabupaten Cirebon,Pekerjaan Konstruksi,Pascakualifikasi Satu File,Tender,Harga Terendah Sistem Gugur,2022,285000000.0,284998000.0,Gabungan Lumsum dan Harga Satuan,Kecil,4
spse 4.5,APBD,Pemerintah Daerah Kabupaten Cirebon,Pekerjaan Konstruksi,Pascakualifikasi Satu File,Tender,Harga Terendah Sistem Gugur,2022,477850000.0,477850000.0,Gabungan Lumsum dan Harga Satuan,Kecil,11
spse 4.5,APBD,Pemerintah Daerah Kabupaten Cirebon,Pekerjaan Konstruksi,Pascakualifikasi Satu File,Tender,Harga Terendah Sistem Gugur,2022,279000000.0,278998000.0,Gabungan Lumsum dan Harga Satuan,Kecil,6
spse 4.5,APBD,Pemerintah Daerah Kabupaten Cirebon,Pekerjaan Konstruksi,Pascakualifikasi Satu File,Tender,Harga Terendah Sistem Gugur,2022,279000000.0,279000000.0,Gabungan Lumsum dan Harga Satuan,Kecil,10
spse 4.5,APBD,Pemerintah Daerah Kabupaten Cirebon,Pekerjaan Konstruksi,Pascakualifikasi Satu File,Tender,Harga Terendah Sistem Gugur,2022,279000000.0,278997000.0,Gabungan Lumsum dan Harga Satuan,Kecil,3
spse 4.5,APBD,Pemerintah Daerah Kabupaten Cirebon,Pekerjaan Konstruksi,Pascakualifikasi Satu File,Tender,Harga Terendah Sistem Gugur,2022,279000000.0,279000000.0,Gabungan Lumsum dan Harga Satuan,Kecil,2
spse 4.5,APBD,Pemerintah Daerah Kabupaten Cirebon,Pekerjaan Konstruksi,Pascakualifikasi Satu File,Tender,Harga Terendah Sistem Gugur,2022,279000000.0,279000000.0,Gabungan Lumsum dan Harga Satuan,Kecil,7
spse 4.5,APBD,Pemerintah Daerah Kabupaten Cirebon,Pekerjaan Konstruksi,Pascakualifikasi Satu File,Tender,Harga Terendah Sistem Gugur,2022,279000000.0,279000000.0,Gabungan Lumsum dan Harga Satuan,Kecil,4
spse 4.5,APBD,Pemerintah Daerah Kabupaten Cirebon,Pekerjaan Konstruksi,Pascakualifikasi Satu File,Tender,Harga Terendah Sistem Gugur,2022,288765000.0,288765000.0,Gabungan Lumsum dan Harga Satuan,Kecil,7
spse 4.5,APBD,Pemerintah Daerah Kabupaten Cirebon,Pekerjaan Konstruksi,Pascakualifikasi Satu File,Tender,Harga Terendah Sistem Gugur,2022,279000000.0,278985000.0,Gabungan Lumsum dan Harga Satuan,Kecil,5
spse 4.5,APBD,Pemerintah Daerah Kabupaten Cirebon,Pekerjaan Konstruksi,Pascakualifikasi Satu File,Tender,Harga Terendah Sistem Gugur,2022,279000000.0,278997000.0,Gabungan Lumsum dan Harga Satuan,Kecil,7
spse 4.5,APBD,Pemerintah Daerah Kabupaten Cirebon,Pekerjaan Konstruksi,Pascakualifikasi Satu File,Tender,Harga Terendah Sistem Gugur,2022,279000000.0,279000000.0,Gabungan Lumsum dan Harga Satuan,Kecil,3
spse 4.5,APBD,Pemerintah Daerah Kabupaten Cirebon,Pekerjaan Konstruksi,Pascakualifikasi Satu File,Tender,Harga Terendah Sistem Gugur,2022,279465000.0,279463000.0,Gabungan Lumsum dan Harga Satuan,Kecil,3
spse 4.5,APBD,Pemerintah Daerah Kabupaten Cirebon,Pekerjaan Konstruksi,Pascakualifikasi Satu File,Tender,Harga Terendah Sistem Gugur,2022,279000000.0,279000000.0,Gabungan Lumsum dan Harga Satuan,Kecil,2
spse 4.5,APBD,Pemerintah Daerah Kabupaten Cirebon,Pekerjaan Konstruksi,Pascakualifikasi Satu File,Tender,Harga Terendah Sistem Gugur,2022,279000000.0,278992000.0,Gabungan Lumsum dan Harga Satuan,Kecil,6
spse 4.5,APBD,Pemerintah Daerah Kabupaten Cirebon,Pekerjaan Konstruksi,Pascakualifikasi Satu File,Tender,Harga Terendah Sistem Gugur,2022,279000000.0,279000000.0,Gabungan Lumsum dan Harga Satuan,Kecil,8
spse 4.5,APBD,Pemerintah Daerah Kabupaten Cirebon,Pekerjaan Konstruksi,Pascakualifikasi Satu File,Tender,Harga Terendah Sistem Gugur,2022,279000000.0,279000000.0,Gabungan Lumsum dan Harga Satuan,Kecil,4
spse 4.5,APBD,Pemerintah Daerah Kabupaten Cirebon,Pekerjaan Konstruksi,Pascakualifikasi Satu File,Tender,Harga Terendah Sistem Gugur,2022,279000000.0,278993000.0,Gabungan Lumsum dan Harga Satuan,Kecil,5
spse 4.5,APBD,Pemerintah Daerah Kabupaten Cirebon,Pekerjaan Konstruksi,Pascakualifikasi Satu File,Tender,Harga Terendah Sistem Gugur,2022,279000000.0,279000000.0,Gabungan Lumsum dan Harga Satuan,Kecil,8
spse 4.5,APBD,Pemerintah Daerah Kabupaten Cirebon,Pekerjaan Konstruksi,Pascakualifikasi Satu File,Tender,Harga Terendah Sistem Gugur,2022,279000000.0,279000000.0,Gabungan Lumsum dan Harga Satuan,Kecil,6
spse 4.5,APBD,Pemerintah Daerah Kabupaten Cirebon,Pekerjaan Konstruksi,Pascakualifikasi Satu File,Tender,Harga Terendah Sistem Gugur,2022,577995000.0,577995000.0,Gabungan Lumsum dan Harga Satuan,Kecil,7
spse 4.5,APBD,Pemerintah Daerah Kabupaten Cirebon,Pekerjaan Konstruksi,Pascakualifikasi Satu File,Pengadaan Langsung,Harga Terendah Sistem Gugur,2022,242000000.0,241996000.0,Gabungan Lumsum dan Harga Satuan,Kecil,4
spse 4.5,APBD,Pemerintah Daerah Kabupaten Cirebon,Pekerjaan Konstruksi,Pascakualifikasi Satu File,Tender,Harga Terendah Sistem Gugur,2022,468162522.0,468162000.0,Gabungan Lumsum dan Harga Satuan,Kecil,7
spse 4.5,APBD,Pemerintah Daerah Kabupaten Cirebon,Pekerjaan Konstruksi,Pascakualifikasi Satu File,Tender,Harga Terendah Sistem Gugur,2022,550000000.0,550000000.0,Gabungan Lumsum dan Harga Satuan,Kecil,12
spse 4.5,APBD,Pemerintah Daerah Kabupaten Cirebon,Pekerjaan Konstruksi,Pascakualifikasi Satu File,Tender,Harga Terendah Sistem Gugur,2022,429000000.0,429000000.0,Gabungan Lumsum dan Harga Satuan,Kecil,7
spse 4.5,APBD,Pemerintah Daerah Kabupaten Cirebon,Pekerjaan Konstruksi,Pascakualifikasi Satu File,Tender,Harga Terendah Sistem Gugur,2022,465000000.0,465000000.0,Gabungan Lumsum dan Harga Satuan,Kecil,7
spse 4.5,APBD,Pemerintah Daerah Kabupaten Cirebon,Pekerjaan Konstruksi,Pascakualifikasi Satu File,Tender,Harga Terendah Sistem Gugur,2022,465000000.0,465000000.0,Gabungan Lumsum dan Harga Satuan,Kecil,6
spse 4.5,APBD,Pemerintah Daerah Kabupaten Cirebon,Pekerjaan Konstruksi,Pascakualifikasi Satu File,Tender,Harga Terendah Sistem Gugur,2022,465000000.0,465000000.0,Gabungan Lumsum dan Harga Satuan,Kecil,5
spse 4.5,APBD,Pemerintah Daerah Kabupaten Cirebon,Pekerjaan Konstruksi,Pascakualifikasi Satu File,Tender,Harga Terendah Sistem Gugur,2022,279000000.0,278999000.0,Gabungan Lumsum dan Harga Satuan,Kecil,3
spse 4.5,APBD,Pemerintah Daerah Kabupaten Cirebon,Pekerjaan Konstruksi,Pascakualifikasi Satu File,Tender,Harga Terendah Sistem Gugur,2022,479000000.0,478998000.0,Gabungan Lumsum dan Harga Satuan,Kecil,5
spse 4.5,APBD,Pemerintah Daerah Kabupaten Cirebon,Pekerjaan Konstruksi,Pascakualifikasi Satu File,Tender,Harga Terendah Sistem Gugur,2022,663000000.0,662999000.0,Gabungan Lumsum dan Harga Satuan,Kecil,14
spse 4.5,APBD,Pemerintah Daerah Kabupaten Cirebon,Pekerjaan Konstruksi,Pascakualifikasi Satu File,Tender,Harga Terendah Sistem Gugur,2022,279000000.0,278999000.0,Gabungan Lumsum dan Harga Satuan,Kecil,3
spse 4.5,APBD,Pemerintah Daerah Kabupaten Cirebon,Pekerjaan Konstruksi,Pascakualifikasi Satu File,Tender,Harga Terendah Sistem Gugur,2022,372000000.0,372000000.0,Gabungan Lumsum dan Harga Satuan,Kecil,9
spse 4.5,APBD,Pemerintah Daerah Kabupaten Cirebon,Pekerjaan Konstruksi,Pascakualifikasi Satu File,Tender,Harga Terendah Sistem Gugur,2022,2500000000.0,2500000000.0,Gabungan Lumsum dan Harga Satuan,Kecil,26
spse 4.5,APBD,Pemerintah Daerah Kabupaten Cirebon,Pekerjaan Konstruksi,Pascakualifikasi Satu File,Tender,Harga Terendah Sistem Gugur,2022,285000000.0,285000000.0,Gabungan Lumsum dan Harga Satuan,Kecil,5
spse 4.5,APBD,Pemerintah Daerah Kabupaten Cirebon,Pekerjaan Konstruksi,Pascakualifikasi Satu File,Tender,Harga Terendah Sistem Gugur,2022,285000000.0,285000000.0,Gabungan Lumsum dan Harga Satuan,Kecil,3
spse 4.5,APBD,Pemerintah Daerah Kabupaten Cirebon,Pekerjaan Konstruksi,Pascakualifikasi Satu File,Tender,Harga Terendah Sistem Gugur,2022,285000000.0,285000000.0,Gabungan Lumsum dan Harga Satuan,Kecil,5
spse 4.5,APBD,Pemerintah Daerah Kabupaten Cirebon,Pekerjaan Konstruksi,Pascakualifikasi Satu File,Tender,Harga Terendah Sistem Gugur,2022,285000000.0,284998000.0,Gabungan Lumsum dan Harga Satuan,Kecil,3
spse 4.5,APBD,Pemerintah Daerah Kabupaten Cirebon,Pekerjaan Konstruksi,Pascakualifikasi Satu File,Tender,Harga Terendah Sistem Gugur,2022,285000000.0,284998000.0,Gabungan Lumsum dan Harga Satuan,Kecil,3
spse 4.5,APBD,Pemerintah Daerah Kabupaten Cirebon,Pekerjaan Konstruksi,Pascakualifikasi Satu File,Tender,Harga Terendah Sistem Gugur,2022,285000000.0,285000000.0,Gabungan Lumsum dan Harga Satuan,Kecil,3
spse 4.5,APBD,Pemerintah Daerah Kabupaten Cirebon,Pekerjaan Konstruksi,Pascakualifikasi Satu File,Tender,Harga Terendah Sistem Gugur,2022,285000000.0,284991000.0,Gabungan Lumsum dan Harga Satuan,Kecil,3
spse 4.5,APBD,Pemerintah Daerah Kabupaten Cirebon,Pekerjaan Konstruksi,Pascakualifikasi Satu File,Tender,Harga Terendah Sistem Gugur,2022,285000000.0,284997000.0,Gabungan Lumsum dan Harga Satuan,Kecil,4
spse 4.5,APBD,Pemerintah Daerah Kabupaten Cirebon,Pekerjaan Konstruksi,Pascakualifikasi Satu File,Tender,Harga Terendah Sistem Gugur,2022,285000000.0,284996000.0,Gabungan Lumsum dan Harga Satuan,Kecil,3
spse 4.5,APBD,Pemerintah Daerah Kabupaten Cirebon,Pekerjaan Konstruksi,Pascakualifikasi Satu File,Tender,Harga Terendah Sistem Gugur,2022,342000000.0,342000000.0,Gabungan Lumsum dan Harga Satuan,Kecil,5
spse 4.5,APBD,Pemerintah Daerah Kabupaten Cirebon,Pekerjaan Konstruksi,Pascakualifikasi Satu File,Tender,Harga Terendah Sistem Gugur,2022,285000000.0,285000000.0,Gabungan Lumsum dan Harga Satuan,Kecil,3
spse 4.5,APBD,Pemerintah Daerah Kabupaten Cirebon,Pekerjaan Konstruksi,Pascakualifikasi Satu File,Tender,Harga Terendah Sistem Gugur,2022,285000000.0,284999000.0,Gabungan Lumsum dan Harga Satuan,Kecil,7
spse 4.5,APBD,Pemerintah Daerah Kabupaten Cirebon,Pekerjaan Konstruksi,Pascakualifikasi Satu File,Tender,Harga Terendah Sistem Gugur,2022,400000000.0,399998000.0,Gabungan Lumsum dan Harga Satuan,Kecil,6
spse 4.5,APBD,Pemerintah Daerah Kabupaten Cirebon,Pekerjaan Konstruksi,Pascakualifikasi Satu File,Tender,Harga Terendah Sistem Gugur,2022,690459984.0,690459000.0,Gabungan Lumsum dan Harga Satuan,Kecil,14
spse 4.5,APBD,Pemerintah Daerah Kabupaten Cirebon,Pekerjaan Konstruksi,Pascakualifikasi Satu File,Tender,Harga Terendah Sistem Gugur,2022,260500000.0,260499000.0,Gabungan Lumsum dan Harga Satuan,Kecil,8
spse 4.5,APBD,Pemerintah Daerah Kabupaten Cirebon,Pekerjaan Konstruksi,Pascakualifikasi Satu File,Tender,Harga Terendah Sistem Gugur,2022,300316000.0,300315000.0,Gabungan Lumsum dan Harga Satuan,Kecil,8
spse 4.5,APBD,Pemerintah Daerah Kabupaten Cirebon,Pekerjaan Konstruksi,Pascakualifikasi Satu File,Tender,Harga Terendah Sistem Gugur,2022,300000000.0,299999000.0,Gabungan Lumsum dan Harga Satuan,Kecil,10
spse 4.5,APBD,Pemerintah Daerah Kabupaten Cirebon,Pekerjaan Konstruksi,Pascakualifikasi Satu File,Tender,Harga Terendah Sistem Gugur,2022,265000000.0,264999000.0,Gabungan Lumsum dan Harga Satuan,Kecil,8
spse 4.5,APBD,Pemerintah Daerah Kabupaten Cirebon,Pekerjaan Konstruksi,Pascakualifikasi Satu File,Tender,Harga Terendah Sistem Gugur,2022,648523200.0,648522000.0,Gabungan Lumsum dan Harga Satuan,Kecil,14
spse 4.5,APBD,Pemerintah Daerah Kabupaten Cirebon,Pekerjaan Konstruksi,Pascakualifikasi Satu File,Tender,Harga Terendah Sistem Gugur,2022,1476000000.0,1475998000.0,Gabungan Lumsum dan Harga Satuan,Kecil,10
spse 4.5,APBD,Pemerintah Daerah Kabupaten Cirebon,Pekerjaan Konstruksi,Pascakualifikasi Satu File,Tender,Harga Terendah Sistem Gugur,2022,380000000.0,379999000.0,Gabungan Lumsum dan Harga Satuan,Kecil,7
spse 4.5,APBD,Pemerintah Daerah Kabupaten Cirebon,Pekerjaan Konstruksi,Pascakualifikasi Satu File,Tender,Harga Terendah Sistem Gugur,2022,1000000000.0,999999000.0,Gabungan Lumsum dan Harga Satuan,Kecil,6
spse 4.5,APBD,Pemerintah Daerah Kabupaten Cirebon,Pekerjaan Konstruksi,Pascakualifikasi Satu File,Tender,Harga Terendah Sistem Gugur,2022,1476000000.0,1475997000.0,Gabungan Lumsum dan Harga Satuan,Kecil,14
spse 4.5,APBD,Pemerintah Daerah Kabupaten Cirebon,Pekerjaan Konstruksi,Pascakualifikasi Satu File,Tender,Harga Terendah Sistem Gugur,2022,415710000.0,415709000.0,Gabungan Lumsum dan Harga Satuan,Kecil,8
spse 4.5,APBD,Pemerintah Daerah Kabupaten Cirebon,Pekerjaan Konstruksi,Pascakualifikasi Satu File,Tender,Harga Terendah Sistem Gugur,2022,600000000.0,599998000.0,Gabungan Lumsum dan Harga Satuan,Kecil,13
spse 4.5,APBD,Pemerintah Daerah Kabupaten Cirebon,Pekerjaan Konstruksi,Pascakualifikasi Satu File,Tender,Harga Terendah Sistem Gugur,2022,379000000.0,379000000.0,Gabungan Lumsum dan Harga Satuan,Kecil,5
spse 4.5,APBD,Pemerintah Daerah Kabupaten Cirebon,Pekerjaan Konstruksi,Pascakualifikasi Satu File,Tender,Harga Terendah Sistem Gugur,2022,647254000.0,647252000.0,Gabungan Lumsum dan Harga Satuan,Kecil,6
spse 4.5,APBD,Pemerintah Daerah Kabupaten Cirebon,Pekerjaan Konstruksi,Pascakualifikasi Satu File,Tender,Harga Terendah Sistem Gugur,2022,1700000000.0,1699999000.0,Gabungan Lumsum dan Harga Satuan,Kecil,20
spse 4.5,APBD,Pemerintah Daerah Kabupaten Cirebon,Pekerjaan Konstruksi,Pascakualifikasi Satu File,Tender,Harga Terendah Sistem Gugur,2022,1400000000.0,1399999000.0,Gabungan Lumsum dan Harga Satuan,Kecil,15
spse 4.5,APBD,Pemerintah Daerah Kabupaten Cirebon,Pekerjaan Konstruksi,Pascakualifikasi Satu File,Tender,Harga Terendah Sistem Gugur,2022,2500000000.0,2500000000.0,Gabungan Lumsum dan Harga Satuan,Kecil,35
spse 4.5,APBD,Pemerintah Daerah Kabupaten Cirebon,Pekerjaan Konstruksi,Pascakualifikasi Satu File,Tender,Harga Terendah Sistem Gugur,2022,1500000000.0,1499999000.0,Gabungan Lumsum dan Harga Satuan,Kecil,19
spse 4.5,APBD,Pemerintah Daerah Kabupaten Cirebon,Pekerjaan Konstruksi,Pascakualifikasi Satu File,Tender,Harga Terendah Sistem Gugur,2022,569160000.0,569158000.0,Gabungan Lumsum dan Harga Satuan,Kecil,6
spse 4.5,APBD,Pemerintah Daerah Kabupaten Cirebon,Pekerjaan Konstruksi,Pascakualifikasi Satu File,Tender,Harga Terendah Sistem Gugur,2022,380000000.0,379999000.0,Gabungan Lumsum dan Harga Satuan,Kecil,4
spse 4.5,APBD,Pemerintah Daerah Kabupaten Cirebon,Pekerjaan Konstruksi,Pascakualifikasi Satu File,Tender,Harga Terendah Sistem Gugur,2022,549005000.0,549005000.0,Gabungan Lumsum dan Harga Satuan,Kecil,12
spse 4.5,APBD,Pemerintah Daerah Kabupaten Cirebon,Pekerjaan Konstruksi,Pascakualifikasi Satu File,Tender,Harga Terendah Sistem Gugur,2022,380000000.0,379999000.0,Gabungan Lumsum dan Harga Satuan,Kecil,8
spse 4.5,APBD,Pemerintah Daerah Kabupaten Cirebon,Pekerjaan Konstruksi,Pascakualifikasi Satu File,Tender,Harga Terendah Sistem Gugur,2022,1069500000.0,1069485000.0,Gabungan Lumsum dan Harga Satuan,Kecil,15
spse 4.5,APBD,Pemerintah Daerah Kabupaten Cirebon,Pekerjaan Konstruksi,Pascakualifikasi Satu File,Tender,Harga Terendah Sistem Gugur,2022,391000000.0,390999000.0,Gabungan Lumsum dan Harga Satuan,Kecil,8
spse 4.5,APBD,Pemerintah Daerah Kabupaten Cirebon,Pekerjaan Konstruksi,Pascakualifikasi Satu File,Tender,Harga Terendah Sistem Gugur,2022,372000000.0,371995000.0,Gabungan Lumsum dan Harga Satuan,Kecil,3
spse 4.5,APBD,Pemerintah Daerah Kabupaten Cirebon,Pekerjaan Konstruksi,Pascakualifikasi Satu File,Tender,Harga Terendah Sistem Gugur,2022,279000000.0,278997000.0,Gabungan Lumsum dan Harga Satuan,Kecil,3
spse 4.5,APBD,Pemerintah Daerah Kabupaten Cirebon,Pekerjaan Konstruksi,Pascakualifikasi Satu File,Tender,Harga Terendah Sistem Gugur,2022,334000000.0,333998000.0,Gabungan Lumsum dan Harga Satuan,Kecil,7
spse 4.5,APBD,Pemerintah Daerah Kabupaten Cirebon,Pekerjaan Konstruksi,Pascakualifikasi Satu File,Tender,Harga Terendah Sistem Gugur,2022,584970000.0,584969000.0,Gabungan Lumsum dan Harga Satuan,Kecil,9
spse 4.5,APBD,Pemerintah Daerah Kabupaten Cirebon,Pekerjaan Konstruksi,Pascakualifikasi Satu File,Tender,Harga Terendah Sistem Gugur,2022,558837000.0,558834000.0,Gabungan Lumsum dan Harga Satuan,Kecil,6
spse 4.5,APBD,Pemerintah Daerah Kabupaten Cirebon,Pekerjaan Konstruksi,Pascakualifikasi Satu File,Tender,Harga Terendah Sistem Gugur,2022,465000000.0,464997000.0,Gabungan Lumsum dan Harga Satuan,Kecil,8
spse 4.5,APBD,Pemerintah Daerah Kabupaten Cirebon,Pekerjaan Konstruksi,Pascakualifikasi Satu File,Tender,Harga Terendah Sistem Gugur,2022,465000000.0,464997000.0,Gabungan Lumsum dan Harga Satuan,Kecil,4
spse 4.5,APBD,Pemerintah Daerah Kabupaten Cirebon,Pekerjaan Konstruksi,Pascakualifikasi Satu File,Tender,Harga Terendah Sistem Gugur,2022,595000000.0,594997000.0,Gabungan Lumsum dan Harga Satuan,Kecil,5
spse 4.5,APBD,Pemerintah Daerah Kabupaten Cirebon,Pekerjaan Konstruksi,Pascakualifikasi Satu File,Tender,Harga Terendah Sistem Gugur,2022,465000000.0,464996000.0,Gabungan Lumsum dan Harga Satuan,Kecil,3
spse 4.5,APBD,Pemerintah Daerah Kabupaten Cirebon,Pekerjaan Konstruksi,Pascakualifikasi Satu File,Tender,Harga Terendah Sistem Gugur,2022,465000000.0,465000000.0,Gabungan Lumsum dan Harga Satuan,Kecil,3
spse 4.5,APBD,Pemerintah Daerah Kabupaten Cirebon,Pekerjaan Konstruksi,Pascakualifikasi Satu File,Tender,Harga Terendah Sistem Gugur,2022,465000000.0,464999000.0,Gabungan Lumsum dan Harga Satuan,Kecil,5
spse 4.5,APBD,Pemerintah Daerah Kabupaten Cirebon,Pekerjaan Konstruksi,Pascakualifikasi Satu File,Tender,Harga Terendah Sistem Gugur,2022,465000000.0,465000000.0,Gabungan Lumsum dan Harga Satuan,Kecil,8
spse 4.5,APBD,Pemerintah Daerah Kabupaten Cirebon,Pekerjaan Konstruksi,Pascakualifikasi Satu File,Tender,Harga Terendah Sistem Gugur,2022,930000000.0,929998000.0,Gabungan Lumsum dan Harga Satuan,Kecil,6
spse 4.5,APBD,Pemerintah Daerah Kabupaten Cirebon,Pekerjaan Konstruksi,Pascakualifikasi Satu File,Tender,Harga Terendah Sistem Gugur,2022,748743000.0,748743000.0,Gabungan Lumsum dan Harga Satuan,Kecil,6
spse 4.5,APBD,Pemerintah Daerah Kabupaten Cirebon,Pekerjaan Konstruksi,Pascakualifikasi Satu File,Tender,Harga Terendah Sistem Gugur,2022,292000000.0,292000000.0,Gabungan Lumsum dan Harga Satuan,Kecil,7
spse 4.5,APBD,Pemerintah Daerah Kabupaten Cirebon,Pekerjaan Konstruksi,Pascakualifikasi Satu File,Tender,Harga Terendah Sistem Gugur,2022,492000000.0,492000000.0,Gabungan Lumsum dan Harga Satuan,Kecil,7
spse 4.5,APBD,Pemerintah Daerah Kabupaten Cirebon,Pekerjaan Konstruksi,Pascakualifikasi Satu File,Tender,Harga Terendah Sistem Gugur,2022,292000000.0,292000000.0,Gabungan Lumsum dan Harga Satuan,Kecil,3
spse 4.5,APBD,Pemerintah Daerah Kabupaten Cirebon,Pekerjaan Konstruksi,Pascakualifikasi Satu File,Tender,Harga Terendah Sistem Gugur,2022,242000000.0,242000000.0,Gabungan Lumsum dan Harga Satuan,Kecil,5
spse 4.5,APBD,Pemerintah Daerah Kabupaten Cirebon,Pekerjaan Konstruksi,Pascakualifikasi Satu File,Tender,Harga Terendah Sistem Gugur,2022,250000000.0,250000000.0,Gabungan Lumsum dan Harga Satuan,Kecil,10
spse 4.5,APBD,Pemerintah Daerah Kabupaten Cirebon,Pekerjaan Konstruksi,Pascakualifikasi Satu File,Tender,Harga Terendah Sistem Gugur,2022,250000000.0,250000000.0,Gabungan Lumsum dan Harga Satuan,Kecil,14
spse 4.5,APBD,Pemerintah Daerah Kabupaten Cirebon,Pekerjaan Konstruksi,Pascakualifikasi Satu File,Tender,Harga Terendah Sistem Gugur,2022,250000000.0,250000000.0,Gabungan Lumsum dan Harga Satuan,Kecil,10
spse 4.5,APBD,Pemerintah Daerah Kabupaten Cirebon,Pekerjaan Konstruksi,Pascakualifikasi Satu File,Tender,Harga Terendah Sistem Gugur,2022,400000000.0,400000000.0,Lumsum,Kecil,19
spse 4.5,APBD,Pemerintah Daerah Kabupaten Cirebon,Pekerjaan Konstruksi,Pascakualifikasi Satu File,Tender,Harga Terendah Sistem Gugur,2022,315000000.0,315000000.0,Gabungan Lumsum dan Harga Satuan,Kecil,11
spse 4.5,APBD,Pemerintah Daerah Kabupaten Cirebon,Pekerjaan Konstruksi,Pascakualifikasi Satu File,Tender,Harga Terendah Sistem Gugur,2022,320000000.0,320000000.0,Lumsum,Kecil,4
spse 4.5,APBD,Pemerintah Daerah Kabupaten Cirebon,Pekerjaan Konstruksi,Pascakualifikasi Satu File,Tender,Harga Terendah Sistem Gugur,2022,360000000.0,360000000.0,Gabungan Lumsum dan Harga Satuan,Kecil,4
spse 4.5,APBD,Pemerintah Daerah Kabupaten Cirebon,Pekerjaan Konstruksi,Pascakualifikasi Satu File,Tender,Harga Terendah Sistem Gugur,2022,240000000.0,240000000.0,Lumsum,Kecil,5
spse 4.5,APBD,Pemerintah Daerah Kabupaten Cirebon,Pekerjaan Konstruksi,Pascakualifikasi Satu File,Tender,Harga Terendah Sistem Gugur,2022,270000000.0,270000000.0,Lumsum,Kecil,14
